year,month,date,Open,High,Low,Close,Volume
1927,12,1927-12-30 05:00:00+00:00,17.65999984741211,17.65999984741211,17.65999984741211,17.65999984741211,0.0
1928,1,1928-01-16 19:51:25.714285824+00:00,17.519999821980793,17.519999821980793,17.519999821980793,17.519999821980793,0.0
1928,2,1928-02-14 22:41:03.157894656+00:00,17.32421071905839,17.32421071905839,17.32421071905839,17.32421071905839,0.0
1928,3,1928-03-16 06:05:27.272727296+00:00,18.233181780034844,18.233181780034844,18.233181780034844,18.233181780034844,0.0
1928,4,1928-04-15 21:45:00+00:00,19.371000003814697,19.371000003814697,19.371000003814697,19.371000003814697,0.0
1928,5,1928-05-15 12:43:38.181818112+00:00,20.004090916026723,20.004090916026723,20.004090916026723,20.004090916026723,0.0
1928,6,1928-06-15 22:17:08.571428608+00:00,18.985238029843284,18.985238029843284,18.985238029843284,18.985238029843284,0.0
1928,7,1928-07-16 16:34:17.142857216+00:00,19.155714307512557,19.155714307512557,19.155714307512557,19.155714307512557,0.0
1928,8,1928-08-16 12:20:52.173913088+00:00,19.793478343797766,19.793478343797766,19.793478343797766,19.793478343797766,0.0
1928,9,1928-09-16 07:47:22.105263104+00:00,21.173157742148952,21.173157742148952,21.173157742148952,21.173157742148952,0.0
1928,10,1928-10-16 00:38:10.909090816+00:00,21.600454590537332,21.600454590537332,21.600454590537332,21.600454590537332,0.0
1928,11,1928-11-16 02:36:00+00:00,23.09900007247925,23.09900007247925,23.09900007247925,23.09900007247925,0.0
1928,12,1928-12-16 00:12:00+00:00,23.144500064849854,23.144500064849854,23.144500064849854,23.144500064849854,0.0
1929,1,1929-01-16 21:21:49.090909184+00:00,24.865000117908824,24.865000117908824,24.865000117908824,24.865000117908824,0.0
1929,2,1929-02-15 02:20:00+00:00,24.992777824401855,24.992777824401855,24.992777824401855,24.992777824401855,0.0
1929,3,1929-03-15 07:24:00+00:00,25.40050001144409,25.40050001144409,25.40050001144409,25.40050001144409,0.0
1929,4,1929-04-15 03:49:05.454545408+00:00,25.268636270002887,25.268636270002887,25.268636270002887,25.268636270002887,0.0
1929,5,1929-05-15 21:27:16.363636480+00:00,25.609545621004973,25.609545621004973,25.609545621004973,25.609545621004973,0.0
1929,6,1929-06-15 16:00:00+00:00,26.14650011062622,26.14650011062622,26.14650011062622,26.14650011062622,0.0
1929,7,1929-07-16 08:21:49.090909184+00:00,28.460909149863504,28.460909149863504,28.460909149863504,28.460909149863504,0.0
1929,8,1929-08-16 05:05:27.272727296+00:00,30.119090860540215,30.119090860540215,30.119090860540215,30.119090860540215,0.0
1929,9,1929-09-16 01:39:00+00:00,31.304499912261964,31.304499912261964,31.304499912261964,31.304499912261964,0.0
1929,10,1929-10-16 05:00:00+00:00,27.991304397583008,27.991304397583008,27.991304397583008,27.991304397583008,0.0
1929,11,1929-11-15 23:21:10.588235264+00:00,20.581764894373276,20.581764894373276,20.581764894373276,20.581764894373276,0.0
1929,12,1929-12-15 17:34:17.142857216+00:00,21.38857142130534,21.38857142130534,21.38857142130534,21.38857142130534,0.0
1930,1,1930-01-17 06:05:27.272727296+00:00,21.716363646767356,21.716363646767356,21.716363646767356,21.716363646767356,0.0
1930,2,1930-02-15 21:25:15.789473792+00:00,23.076315829628392,23.076315829628392,23.076315829628392,23.076315829628392,0.0
1930,3,1930-03-16 10:42:51.428571392+00:00,23.90904780796596,23.90904780796596,23.90904780796596,23.90904780796596,0.0
1930,4,1930-04-15 09:25:42.857142784+00:00,25.430952435448056,25.430952435448056,25.430952435448056,25.430952435448056,0.0
1930,5,1930-05-15 13:08:34.285714176+00:00,23.954761868431454,23.954761868431454,23.954761868431454,23.954761868431454,0.0
1930,6,1930-06-15 09:42:51.428571392+00:00,21.60047621954055,21.60047621954055,21.60047621954055,21.60047621954055,0.0
1930,7,1930-07-16 17:05:27.272727296+00:00,21.018181627446953,21.018181627446953,21.018181627446953,21.018181627446953,0.0
1930,8,1930-08-15 22:17:08.571428608+00:00,20.800476255871,20.800476255871,20.800476255871,20.800476255871,0.0
1930,9,1930-09-15 18:57:08.571428608+00:00,20.770000003633044,20.770000003633044,20.770000003633044,20.770000003633044,0.0
1930,10,1930-10-16 17:00:00+00:00,17.92954548922452,17.92954548922452,17.92954548922452,17.92954548922452,0.0
1930,11,1930-11-15 17:00:00+00:00,16.588333235846626,16.588333235846626,16.588333235846626,16.588333235846626,0.0
1930,12,1930-12-15 10:27:16.363636480+00:00,15.545909057963978,15.545909057963978,15.545909057963978,15.545909057963978,0.0
1931,1,1931-01-16 23:17:08.571428608+00:00,15.920952297392345,15.920952297392345,15.920952297392345,15.920952297392345,0.0
1931,2,1931-02-14 09:00:00+00:00,17.163333257039387,17.163333257039387,17.163333257039387,17.163333257039387,0.0
1931,3,1931-03-16 03:54:32.727272704+00:00,17.538181825117633,17.538181825117633,17.538181825117633,17.538181825117633,0.0
1931,4,1931-04-16 11:40:00+00:00,15.83000001453218,15.83000001453218,15.83000001453218,15.83000001453218,0.0
1931,5,1931-05-15 22:17:08.571428608+00:00,14.286666597638812,14.286666597638812,14.286666597638812,14.286666597638812,0.0
1931,6,1931-06-15 02:54:32.727272704+00:00,13.836818174882369,13.836818174882369,13.836818174882369,13.836818174882369,0.0
1931,7,1931-07-16 12:20:52.173913088+00:00,14.347391294396441,14.347391294396441,14.347391294396441,14.347391294396441,0.0
1931,8,1931-08-16 09:42:51.428571392+00:00,13.886666752043224,13.886666752043224,13.886666752043224,13.886666752043224,0.0
1931,9,1931-09-15 21:17:08.571428608+00:00,11.890000070844378,11.890000070844378,11.890000070844378,11.890000070844378,0.0
1931,10,1931-10-16 10:42:51.428571392+00:00,10.219047546386719,10.219047546386719,10.219047546386719,10.219047546386719,0.0
1931,11,1931-11-15 12:34:44.210526208+00:00,10.42473682604338,10.42473682604338,10.42473682604338,10.42473682604338,0.0
1931,12,1931-12-15 19:10:54.545454592+00:00,8.4127273126082,8.4127273126082,8.4127273126082,8.4127273126082,0.0
1932,1,1932-01-16 17:00:00+00:00,8.325499963760375,8.325499963760375,8.325499963760375,8.325499963760375,0.0
1932,2,1932-02-14 03:44:12.631578880+00:00,8.202105321382222,8.202105321382222,8.202105321382222,8.202105321382222,0.0
1932,3,1932-03-15 19:10:54.545454592+00:00,8.250454620881515,8.250454620881515,8.250454620881515,8.250454620881515,0.0
1932,4,1932-04-15 23:02:51.428571392+00:00,6.269523847670782,6.269523847670782,6.269523847670782,6.269523847670782,0.0
1932,5,1932-05-15 10:51:25.714285824+00:00,5.522380942390079,5.522380942390079,5.522380942390079,5.522380942390079,0.0
