year,date,Open,High,Low,Close,Volume
1927,1927-12-30 05:00:00+00:00,17.65999984741211,17.65999984741211,17.65999984741211,17.65999984741211,0.0
1928,1928-07-01 10:07:42.102439936+00:00,19.9503355326737,19.9503355326737,19.9503355326737,19.9503355326737,0.0
1929,1929-07-01 09:06:59.583651584+00:00,26.01075838260968,26.01075838260968,26.01075838260968,26.01075838260968,0.0
1930,1930-07-01 12:26:28.653451776+00:00,21.028363623147325,21.028363623147325,21.028363623147325,21.028363623147325,0.0
1931,1931-07-01 11:14:23.746322176+00:00,13.646376830743755,13.646376830743755,13.646376830743755,13.646376830743755,0.0
1932,1932-07-01 05:48:31.769740544+00:00,6.914609476473494,6.914609476473494,6.914609476473494,6.914609476473494,0.0
1933,1933-07-01 17:41:26.408065664+00:00,8.957803071119416,8.957803071119416,8.957803071119416,8.957803071119416,0.0
1934,1934-07-01 11:05:59.084668288+00:00,9.841143636368859,9.841143636368859,9.841143636368859,9.841143636368859,0.0
1935,1935-07-01 10:24:51.103896064+00:00,10.584190497104798,10.584190497104798,10.584190497104798,10.584190497104798,0.0
1936,1936-07-01 10:39:17.936342912+00:00,15.460409818407832,15.460409818407832,15.460409818407832,15.460409818407832,0.0
1937,1937-07-01 08:27:29.850218496+00:00,15.39409409002424,15.39409409002424,15.39409409002424,15.39409409002424,0.0
1938,1938-07-01 09:40:42.224286080+00:00,11.485086058550124,11.485086058550124,11.485086058550124,11.485086058550124,0.0
1939,1939-07-01 13:11:53.387470720+00:00,12.05862640060659,12.05862640060659,12.05862640060659,12.05862640060659,0.0
1940,1940-07-01 06:52:11.308954240+00:00,11.017076638686435,11.017076638686435,11.017076638686435,11.017076638686435,0.0
1941,1941-07-01 14:27:39.241687040+00:00,9.822718935192315,9.822718935192315,9.822718935192315,9.822718935192315,0.0
1942,1942-07-01 11:15:04.347826176+00:00,8.672181577759979,8.672181577759979,8.672181577759979,8.672181577759979,0.0
1943,1943-07-01 08:09:23.034859904+00:00,11.502523105395783,11.502523105395783,11.502523105395783,11.502523105395783,0.0
1944,1944-07-01 08:26:35.530327680+00:00,12.46628601642667,12.46628601642667,12.46628601642667,12.46628601642667,0.0
1945,1945-07-01 10:48:20+00:00,15.152564048555838,15.152564048555838,15.152564048555838,15.152564048555838,0.0
1946,1946-07-01 10:24:51.103896064+00:00,17.070949946437917,17.070949946437917,17.070949946437917,17.070949946437917,0.0
1947,1947-07-01 14:18:14.535804800+00:00,15.163326996544173,15.163326996544173,15.163326996544173,15.163326996544173,0.0
1948,1948-07-01 07:05:35.564504192+00:00,15.533720255404221,15.533720255404221,15.533720255404221,15.533720255404221,0.0
1949,1949-07-01 09:40:42.224286080+00:00,15.225844415148634,15.225844415148634,15.225844415148634,15.225844415148634,0.0
1950,1950-07-01 13:11:53.387470720+00:00,18.394725718988497,18.394725718988497,18.394725718988497,18.394725718988497,2016468.536982553
1951,1951-07-01 12:30:11.716247168+00:00,22.331782399329544,22.331782399329544,22.331782399329544,22.331782399329544,1715308.0296261075
1952,1952-07-01 08:48:17.406618112+00:00,24.492060292140394,24.492060292140394,24.492060292140394,24.492060292140394,1313948.9097074235
1953,1953-07-01 11:43:10.062111808+00:00,24.73493682469344,24.73493682469344,24.73493682469344,24.73493682469344,1418545.6793608966
1954,1954-07-01 07:46:55.378763072+00:00,29.691677548559955,29.691677548559955,29.691677548559955,29.691677548559955,2264225.575879752
1955,1955-07-01 09:24:28.840827392+00:00,40.50376732132825,40.50376732132825,40.50376732132825,40.50376732132825,2580497.8247661316
1956,1956-07-01 07:08:03.928794304+00:00,46.61596665386653,46.61596665386653,46.61596665386653,46.61596665386653,2219573.5526233236
1957,1957-07-01 09:30:59.856756480+00:00,44.38452060530961,44.38452060530961,44.38452060530961,44.38452060530961,2212498.263114968
1958,1958-07-01 12:00:09.824957632+00:00,46.24260093781726,46.24260093781726,46.24260093781726,46.24260093781726,2965784.320952799
1959,1959-07-01 09:30:16.917293248+00:00,57.38290202113357,57.38290202113357,57.38290202113357,57.38290202113357,3246434.7421584264
1960,1960-07-01 05:59:04.028797312+00:00,55.847837118085614,55.847837118085614,55.847837118085614,55.847837118085614,3041461.721249765
1961,1961-07-01 09:03:55.611756672+00:00,66.26655144356451,66.26655144356451,66.26655144356451,66.26655144356451,4081326.8839919292
1962,1962-07-01 11:34:48.163244064+00:00,0.0,62.92556652062135,61.86795754045466,62.381901007210395,3828744.6015400817
